transaction_id,bill_id,date,store_id,store_location,customer_id,customer_segment,product_id,product_category,product_name,quantity,unit_price,payment_method,discount_applied,channel
TXN-2025-0001,BILL-0001,2025-01-01,S1,Downtown,C001,Loyal,P101,Beverages,Orange Juice 1L,2,3.50,Credit Card,0.00,In-store
TXN-2025-0002,BILL-0001,2025-01-01,S1,Downtown,C001,Loyal,P508,Grocery,Cereal Box 500g,1,4.50,Credit Card,0.00,In-store
TXN-2025-0003,BILL-0002,2025-01-01,S2,Suburban,C015,Regular,P401,Dairy,Milk 1L,3,1.80,Cash,0.00,In-store
TXN-2025-0004,BILL-0002,2025-01-01,S2,Suburban,C015,Regular,P601,Bakery,Whole Wheat Bread,2,2.25,Cash,0.00,In-store
TXN-2025-0005,BILL-0003,2025-01-01,S3,Uptown,C042,New,P301,Personal Care,Shampoo 250ml,1,4.00,UPI,0.40,Online
TXN-2025-0006,BILL-0004,2025-01-02,S1,Downtown,C008,Loyal,P505,Grocery,Olive Oil 500ml,1,7.50,Credit Card,0.00,In-store
TXN-2025-0007,BILL-0004,2025-01-02,S1,Downtown,C008,Loyal,P506,Grocery,Pasta 500g,3,2.00,Credit Card,0.00,In-store
TXN-2025-0008,BILL-0004,2025-01-02,S1,Downtown,C008,Loyal,P403,Dairy,Yogurt 500g,2,2.00,Credit Card,0.00,In-store
TXN-2025-0009,BILL-0005,2025-01-02,S2,Suburban,C023,Regular,P201,Snacks,Potato Chips,4,1.20,Cash,0.00,In-store
TXN-2025-0010,BILL-0005,2025-01-02,S2,Suburban,C023,Regular,P105,Beverages,Cola 2L,2,2.50,Cash,0.00,In-store
TXN-2025-0011,BILL-0006,2025-01-02,S3,Uptown,C031,Loyal,P114,Beverages,Herbal Tea Box,2,5.00,Credit Card,0.00,In-store
TXN-2025-0012,BILL-0006,2025-01-02,S3,Uptown,C031,Loyal,P507,Grocery,Honey 500g,1,6.00,Credit Card,0.00,In-store
TXN-2025-0013,BILL-0007,2025-01-03,S1,Downtown,C005,Loyal,P501,Grocery,Rice 5kg,1,8.50,Debit Card,0.85,In-store
TXN-2025-0014,BILL-0007,2025-01-03,S1,Downtown,C005,Loyal,P502,Grocery,Wheat Flour 2kg,2,3.00,Debit Card,0.00,In-store
TXN-2025-0015,BILL-0008,2025-01-03,S2,Suburban,C019,Regular,P302,Personal Care,Body Lotion 200ml,1,5.50,UPI,0.00,Online
TXN-2025-0016,BILL-0008,2025-01-03,S2,Suburban,C019,Regular,P313,Personal Care,Lip Balm 3-Pack,2,3.20,UPI,0.00,Online
TXN-2025-0017,BILL-0009,2025-01-03,S3,Uptown,C045,New,P602,Bakery,Croissant 4-Pack,2,4.00,Cash,0.00,In-store
TXN-2025-0018,BILL-0010,2025-01-04,S1,Downtown,C002,Loyal,P116,Beverages,Hot Chocolate Mix,3,3.50,Credit Card,0.00,In-store
TXN-2025-0019,BILL-0010,2025-01-04,S1,Downtown,C002,Loyal,P603,Bakery,Muffins 6-Pack,1,5.00,Credit Card,0.00,In-store
TXN-2025-0020,BILL-0011,2025-01-04,S2,Suburban,C028,Regular,P402,Dairy,Cheese 200g,2,3.20,Cash,0.00,In-store
TXN-2025-0021,BILL-0011,2025-01-04,S2,Suburban,C028,Regular,P404,Dairy,Butter 250g,1,3.50,Cash,0.00,In-store
TXN-2025-0022,BILL-0012,2025-01-04,S3,Uptown,C038,Loyal,P509,Grocery,Peanut Butter 350g,1,4.50,UPI,0.00,In-store
TXN-2025-0023,BILL-0012,2025-01-04,S3,Uptown,C038,Loyal,P510,Grocery,Jam 350g,2,3.00,UPI,0.00,In-store
TXN-2025-0024,BILL-0013,2025-01-05,S1,Downtown,C012,Loyal,P203,Snacks,Cookies Pack,5,1.50,Credit Card,0.00,In-store
TXN-2025-0025,BILL-0013,2025-01-05,S1,Downtown,C012,Loyal,P207,Snacks,Candy Bar 3-Pack,3,2.00,Credit Card,0.00,In-store
TXN-2025-0026,BILL-0014,2025-01-05,S2,Suburban,C016,Regular,P304,Personal Care,Toothpaste 150g,2,2.20,Cash,0.00,In-store
TXN-2025-0027,BILL-0014,2025-01-05,S2,Suburban,C016,Regular,P305,Personal Care,Soap Bar 3-Pack,1,3.00,Cash,0.00,In-store
TXN-2025-0028,BILL-0015,2025-01-05,S3,Uptown,C033,Loyal,P405,Dairy,Ice Cream 1L,1,5.50,Credit Card,0.00,In-store
TXN-2025-0029,BILL-0016,2025-01-06,S1,Downtown,C003,Loyal,P511,Grocery,Lentils 1kg,2,2.50,Debit Card,0.00,In-store
TXN-2025-0030,BILL-0016,2025-01-06,S1,Downtown,C003,Loyal,P514,Grocery,Cooking Oil 1L,1,5.00,Debit Card,0.00,In-store
TXN-2025-0031,BILL-0017,2025-01-06,S2,Suburban,C021,Regular,P104,Beverages,Green Tea Pack,2,4.50,UPI,0.00,Online
TXN-2025-0032,BILL-0018,2025-01-06,S3,Uptown,C047,New,P604,Bakery,Bagels 6-Pack,1,3.50,Cash,0.00,In-store
